_key,username,location,postcount,likes,keyword,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
0,,,,,0.9292200282216072,,,,,,,,,,,
1,DaryLS,克拉格的住所,5.0,15.0,1.3094727993011475,,,,,,,,,,,
2,CCnono,,4.0,11.0,0.9424587413668633,,,,,,,,,,,
3,Dominic,,1.0,2.0,1.0921190083026886,,,,,,,,,,,
4,Jerry,,3.0,5.0,0.0,,,,,,,,,,,
5,Admin,,15.0,22.0,1.0804622322320938,,,,,,,,,,,
6,七七,,,,0.0,,,,,,,,,,,
7,leshu,,5.0,10.0,1.3094727993011475,,,,,,,,,,,
8,iii,,1.0,2.0,1.1766791939735413,,,,,,,,,,,
9,N_N,,,,0.0,,,,,,,,,,,
10,学习之星黄迪晨,,,,0.0,,,,,,,,,,,
11,metabeing,,3.0,6.0,1.0367080867290497,,,,,,,,,,,
12,excalibur,,,,0.0,,,,,,,,,,,
13,Gllaucus,,,,0.0,,,,,,,,,,,
14,jflam,,,,0.0,,,,,,,,,,,
15,有事说话,,1.0,2.0,0.7710568010807037,,,,,,,,,,,
16,Nathan,,,,0.0,,,,,,,,,,,
17,guluglu,,,,0.0,,,,,,,,,,,
18,蓝红水,,,,0.0,,,,,,,,,,,
19,Weeknd,,,,0.0,,,,,,,,,,,
20,Alicia,,,,0.0,,,,,,,,,,,
21,Afirmiana,,1.0,2.0,1.0569171980023384,,,,,,,,,,,
22,Shirley,,,,0.0,,,,,,,,,,,
23,盐焗土豆_,,2.0,4.0,0.9328572899103165,,,,,,,,,,,
24,shrimp,,1.0,2.0,0.9172362238168716,,,,,,,,,,,
25,前锦似海,,1.0,2.0,1.0714500918984413,,,,,,,,,,,
26,Jojo姐,,,,0.0,,,,,,,,,,,
27,panlis,,,,0.0,,,,,,,,,,,
28,6F9,"Bilbao, España",5430.0,4268224551293.0,0.9330037236213684,,,,,,,,,,,
29,830,,2.0,0.0,1.0157220512628555,,,,,,,,,,,
30,A4A,,11.0,14.0,1.1101986542344093,,,,,,,,,,,
31,1a0,Brisbane,2977.0,16974.0,0.8758074790239334,,,,,,,,,,,
32,bdf,"California, USA",2875.0,7956.0,0.936392031610012,,,,,,,,,,,
33,e36,,2.0,1.0,1.082616850733757,,,,,,,,,,,
34,7FE,,4318.0,1560.0,1.1409001797437668,,,,,,,,,,,
35,5aa,,2.0,0.0,0.8859398365020752,,,,,,,,,,,
36,F0B,,108.0,19.0,1.0359653644263744,,,,,,,,,,,
